"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","sample_ID","rand","group"
5.8,2.7,3.9,1.2,"versicolor",83,337,"s3"
4.9,3,1.4,0.2,"setosa",2,349,"s3"
6.5,3,5.5,1.8,"virginica",117,378,"s3"
6.9,3.1,4.9,1.5,"versicolor",53,384,"s3"
7.2,3.2,6,1.8,"virginica",126,386,"s3"
6,3,4.8,1.8,"virginica",139,397,"s3"
5.8,2.6,4,1.2,"versicolor",93,405,"s3"
5.7,4.4,1.5,0.4,"setosa",16,424,"s3"
6.9,3.1,5.4,2.1,"virginica",140,449,"s3"
7.9,3.8,6.4,2,"virginica",132,480,"s3"
5.7,3.8,1.7,0.3,"setosa",19,533,"s3"
7.7,2.8,6.7,2,"virginica",123,543,"s3"
5.2,3.5,1.5,0.2,"setosa",28,557,"s3"
5.4,3.9,1.7,0.4,"setosa",6,575,"s3"
5.4,3.7,1.5,0.2,"setosa",11,595,"s3"
6,3.4,4.5,1.6,"versicolor",86,657,"s3"
6,2.9,4.5,1.5,"versicolor",79,678,"s3"
6,2.7,5.1,1.6,"versicolor",84,704,"s3"
6.7,3.1,5.6,2.4,"virginica",141,707,"s3"
4.9,3.6,1.4,0.1,"setosa",38,710,"s3"
5,3,1.6,0.2,"setosa",26,715,"s3"
7.6,3,6.6,2.1,"virginica",106,748,"s3"
6.8,2.8,4.8,1.4,"versicolor",77,774,"s3"
5.1,3.8,1.9,0.4,"setosa",45,793,"s3"
5,3.3,1.4,0.2,"setosa",50,794,"s3"
5.7,2.5,5,2,"virginica",114,795,"s3"
6.9,3.2,5.7,2.3,"virginica",121,831,"s3"
5.5,2.5,4,1.3,"versicolor",90,853,"s3"
6.3,2.9,5.6,1.8,"virginica",104,876,"s3"
7.7,2.6,6.9,2.3,"virginica",119,892,"s3"
5.2,2.7,3.9,1.4,"versicolor",60,904,"s3"
6.7,3,5,1.7,"versicolor",78,915,"s3"
5.7,2.8,4.5,1.3,"versicolor",56,933,"s3"
5.1,3.4,1.5,0.2,"setosa",40,954,"s3"
6.4,3.2,5.3,2.3,"virginica",116,957,"s3"
5.7,3,4.2,1.2,"versicolor",96,990,"s3"
